,,,,,,,
name,notes,Latitude,Longitude,nav_latitude,nav_longitude,via_latitude,via_longitude
A1,,29.728979,-96.608521,,,,
A2,,29.728964,-96.608648,,,,
A3,,29.729033,-96.608885,,,,
A4,,29.729130,-96.609010,,,,
A5,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.729130,-96.609419,,,29.729430,-96.609785
A6,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.728980,-96.609473,,,,
A7,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.728870,-96.609678,,,,
A8,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.728878,-96.609661,,,,
A9,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.728882,-96.609802,,,,
A10,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.728942,-96.609973,,,,
A11,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.729034,-96.610047,,,,
A12,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.729129,-96.610056,,,,
A13,This is a back in site. Take the last left turn and drive counter-clockwise to reach your site.,29.729257,-96.610044,,,,
A14,,29.729487,-96.609913,,,,
A15,,29.729623,-96.609968,,,,
A16,,29.729757,-96.609977,,,,
A17,,29.729902,-96.609821,,,,
A18,,29.729929,-96.609635,,,,
A19,,29.729874,-96.609452,,,,
A20,,29.729758,-96.609361,,,,
A21,,"29.729662
",-96.609343,,,,
A22,,29.729548,-96.609350,,,,
A23,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729366,-96.609018,,,,
A24,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729443,-96.608918,,,,
A25,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729494,-96.608826,,,,
A26,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729574,-96.608606,,,29.729492,-96.608609
A27,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729510,-96.608540,,,,
A28,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729422,-96.608445,,,,
A29,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729326,-96.608383,,,,
A30,Take immediate 1st right turn and follow the circle counter-clockwise so you can back in properly,29.729202,-96.608368,,,,
A31,,,,,,,
A32,,,,,,,
A33,,,,,,,
A34,,,,,,,
A35,,,,,,,
A36,,,,,,,
A37,,,,,,,
A38,,,,,,,
A39,,,,,,,
A40,,,,,,,
A41,,,,,,,
A42,,,,,,,
A43,,,,,,,
A44,,,,,,,
A45,,,,,,,
A46,,,,,,,
A47,,,,,,,
A48,,,,,,,
A49,,,,,,,
A50,,,,,,,
