Field #     Field Name                                        Field Type  Field Width 
1           Prefixtitle                                       varchar     4           
2           Individualname                                    varchar     63          
3           Firstname                                         varchar     30          
4           Middleinitial                                     varchar     2           
5           Lastname                                          varchar     30          
6           Address                                           varchar     49          
7           Address2line                                      varchar     33          
8           City                                              varchar     30          
9           State                                             varchar     2           
10          Zip                                               varchar     5           
11          ZIP4                                              varchar     4           
12          Dpbc                                              varchar     3           
13          Crrt                                              varchar     4           
14          ESTINCHI                                          varchar     1           
15          VACANT_FLG                                        varchar     1           
16          CLARITAS_IPA                                      varchar     1           
17          RECS_PER_HOUSEHOLD                                varchar     1           
18          AGE_BAND                                          varchar     2           
19          Confidence - Use Code                             varchar     1           
20          Zip9                                              varchar     10          
21          STREET_NUM                                        varchar     10          
22          PRE_DIRECTION                                     varchar     2           
23          STREET_NAME                                       varchar     35          
24          ADDRESS_TYPE                                      varchar     1           
25          AGE_BAND_RANGE                                    varchar     2           
26          HEAD_HH_AGE                                       varchar     2           
27          PC_AGE_IND                                        varchar     1           
28          IPA_IND                                           varchar     1           
29          DROP_DELIVERY_IND                                 varchar     1           
30          PC_ED_IND                                         varchar     1           
31          EST_INCOME_CODE                                   varchar     1           
32          PC_INC                                            varchar     1           
33          EST_INCOME_NARROW_RANGE                           varchar     1           
34          PC_INC_IND                                        varchar     1           
35          GENDER_CODE                                       varchar     1           
36          Head_of_household                                 varchar     2           
37          PC_OR_IND                                         varchar     1           
38          HOMEOWNER_FLAG1                                   varchar     1           
39          LENGTH_RESIDENCE                                  varchar     2           
40          MARITAL_STATUS                                    varchar     1           
41          PC_MS                                             varchar     1           
42          PC_MS_IND                                         varchar     1           
43          RADIUS                                            varchar     1           
44          RAD_DIST                                          varchar     10          
45          ADULTF_AGE_75PLUS                                 varchar     1           
46          ADULTF_AGE18_24                                   varchar     1           
47          ADULTF_AGE25-34                                   varchar     1           
48          ADULTF_AGE35_44                                   varchar     1           
49          ADULTF_AGE45_54                                   varchar     1           
50          ADULTF_AGE55_64                                   varchar     1           
51          ADULTF_AGE65_74                                   varchar     1           
52          ADULTM_AGE_75PLUS                                 varchar     1           
53          ADULTM_AGE18_24                                   varchar     1           
54          ADULTM_AGE25-34                                   varchar     1           
55          ADULTM_AGE35_44                                   varchar     1           
56          ADULTM_AGE45_54                                   varchar     1           
57          ADULTM_AGE55_64                                   varchar     1           
58          ADULTM_AGE65_74                                   varchar     1           
59          ADULTU_AGE_75PLUS                                 varchar     1           
60          ADULTU_AGE18_24                                   varchar     1           
61          ADULTU_AGE25-34                                   varchar     1           
62          ADULTU_AGE35_44                                   varchar     1           
63          ADULTU_AGE45_54                                   varchar     1           
64          ADULTU_AGE55_64                                   varchar     1           
65          ADULTU_AGE65_74                                   varchar     1           
66          VEH1_MAKE_DESC                                    varchar     50          
67          VEH1_MODEL_DESC                                   varchar     50          
68          VEH2_MAKE_DESC                                    varchar     50          
69          VEH2_MODEL_DESC                                   varchar     50          
70          X_VERIFICATION_DATE                               varchar     5           
71          ZIPCRRT                                           varchar     9           
